# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.90725 288.5465 138.9641 0.4825 -0.4767 1.2789 235.2774 118.6302 323.2848 371.0997 -17.1715 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.94583 289.2431 226.0083 0.7848 -0.9011 2.2478 413.3113 208.0849 327.0987 382.3787 -28.9258 0.0000 0.0000
30.03 15.07.2018 05.30.01 20.02166 289.9135 325.8162 1.1313 -1.4214 3.4036 708.9899 367.9902 332.9261 418.1572 -62.4691 0.0000 0.0000
40.03 15.07.2018 05.40.01 20.14337 290.6196 422.3065 1.4663 -2.0579 4.6990 678.0773 352.4062 340.3989 434.8850 -75.5926 0.0000 0.0000
50.03 15.07.2018 05.50.01 20.30172 291.1467 250.5922 0.8701 -2.7758 4.8613 632.9008 329.1700 343.5970 443.8891 -80.8154 0.0000 0.0000
60.03 15.07.2018 06.00.01 20.40045 291.6558 128.2790 0.4454 -3.1344 4.7731 583.8111 303.7761 345.4156 448.6781 -85.1319 0.0000 0.0000
70.03 15.07.2018 06.10.01 20.45599 291.9747 73.1357 0.2539 -3.2534 4.6764 561.6934 292.3278 346.6783 452.5951 -88.4259 0.0000 0.0000
80.03 15.07.2018 06.20.01 20.49246 292.3320 73.5440 0.2554 -3.2662 4.6954 541.0331 281.6632 348.1860 455.6618 -91.3246 0.0000 0.0000
90.03 15.07.2018 06.30.01 20.64398 292.6446 6014.1895 20.8826 -3.7946 32.9030 597.1393 295.7904 349.4617 463.4003 -99.7599 0.0000 0.0000
100.03 15.07.2018 06.40.01 22.86285 292.9739 2771.5862 9.6236 -14.3269 31.9340 582.1071 288.5395 350.8840 465.2255 -101.5779 0.0000 0.0000
110.03 15.07.2018 06.50.01 23.92858 293.2738 1310.5950 4.5507 -18.6388 30.9193 566.8906 281.2140 352.1988 466.2872 -103.4602 0.0000 0.0000
120.03 15.07.2018 07.00.01 24.46697 293.5665 624.8687 2.1697 -20.2271 29.8623 551.3992 273.7536 353.4922 466.6897 -105.0072 0.0000 0.0000
130.03 15.07.2018 07.10.01 24.75475 293.8677 350.5607 1.2172 -20.5909 29.0776 541.0710 268.7964 355.0017 467.7992 -103.4573 0.0000 0.0000
140.03 15.07.2018 07.20.01 24.93896 294.1827 212.6387 0.7383 -20.4969 28.3137 531.2006 264.0956 356.7582 468.9136 -101.6219 0.0000 0.0000
