# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.92611 289.0801 320.4568 0.5136 -0.6557 1.5590 458.6603 256.3264 323.3949 406.3532 -56.4691 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.96557 289.9342 504.9243 0.8092 -1.1339 2.5908 822.1250 459.9656 328.6514 454.4362 -101.0006 0.0000 0.0000
30.03 15.07.2018 05.30.01 20.04586 290.6660 727.8557 1.1664 -1.6831 3.7994 1188.3763 665.1468 335.5547 513.7126 -152.9421 0.0000 0.0000
40.03 15.07.2018 05.40.01 20.17547 291.5464 938.6629 1.5043 -2.3525 5.1423 1121.5002 627.2278 343.9282 527.3107 -163.0912 0.0000 0.0000
50.03 15.07.2018 05.50.01 20.34432 292.1282 548.5423 0.8791 -3.0882 5.2896 1036.9362 579.6557 347.2144 530.5778 -165.7406 0.0000 0.0000
60.03 15.07.2018 06.00.01 20.45092 292.6171 301.1249 0.4826 -3.4122 5.1931 948.0696 529.6886 348.8772 528.9852 -164.8597 0.0000 0.0000
70.03 15.07.2018 06.10.01 20.51882 292.8729 214.8933 0.3444 -3.4741 5.0913 907.0573 506.5964 350.0021 530.3145 -165.7611 0.0000 0.0000
80.03 15.07.2018 06.20.01 20.57592 293.1598 256.2408 0.4106 -3.4192 5.1064 865.8996 483.3249 351.4347 530.2453 -165.5614 0.0000 0.0000
90.03 15.07.2018 06.30.01 20.64428 293.4364 291.9808 0.4679 -3.3490 5.0892 823.9254 459.5870 352.6226 528.6526 -164.1876 0.0000 0.0000
100.03 15.07.2018 06.40.01 20.72369 293.7216 370.1487 0.5932 -3.2570 5.1336 796.9053 444.1936 353.8891 528.1302 -161.7654 0.0000 0.0000
110.03 15.07.2018 06.50.01 20.82131 294.0119 435.1590 0.6974 -3.1775 5.1664 774.2101 431.4058 355.1260 527.6314 -160.0411 0.0000 0.0000
120.03 15.07.2018 07.00.01 20.93487 294.3090 503.3318 0.8066 -3.1008 5.2099 752.8280 419.3955 356.3441 526.7951 -158.3866 0.0000 0.0000
130.03 15.07.2018 07.10.01 21.06448 294.6020 558.5161 0.8951 -3.0333 5.2378 738.8350 411.5110 357.8035 527.1917 -155.3448 0.0000 0.0000
140.03 15.07.2018 07.20.01 21.20791 294.9163 636.6811 1.0203 -2.9706 5.3212 724.9430 403.6423 359.4446 527.4293 -152.4683 0.0000 0.0000
150.03 15.07.2018 07.30.01 21.36831 295.2331 688.3614 1.1031 -2.9348 5.3839 710.1800 395.2684 361.1057 527.2775 -149.7105 0.0000 0.0000
160.03 15.07.2018 07.40.01 21.54101 295.5579 758.2308 1.2151 -2.9101 5.5003 699.6675 389.2302 362.8335 527.4436 -147.0607 0.0000 0.0000
170.03 15.07.2018 07.50.01 21.72823 295.8924 785.2532 1.2584 -2.9139 5.5631 687.8777 382.4698 364.6305 527.2604 -144.8129 0.0000 0.0000
180.03 15.07.2018 08.00.01 21.92248 296.2285 818.5045 1.3117 -2.9154 5.6361 675.2887 375.2219 366.3953 526.7169 -142.8955 0.0000 0.0000
190.03 15.07.2018 08.10.01 22.12429 296.5529 843.8657 1.3523 -2.9269 5.7057 661.6836 367.4005 368.3140 526.3097 -139.1664 0.0000 0.0000
200.03 15.07.2018 08.20.01 22.33141 296.8351 852.1680 1.3657 -2.9486 5.7523 647.3016 359.1310 369.9204 524.3232 -140.1641 0.0000 0.0000
210.03 15.07.2018 08.30.01 22.54131 297.3487 888.6346 1.4241 -2.9634 5.8500 633.2330 351.0081 371.2918 521.9106 -140.6182 0.0000 0.0000
