# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.85000 288.4980 0.0000 0.0000 0.0000 0.0000 406.2734 203.1367 324.9186 380.1507 -29.6939 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.85000 289.1099 0.0000 0.0000 0.0000 0.0000 721.4256 360.7128 326.5725 397.2077 -46.6562 0.0000 0.0000
30.03 15.07.2018 05.30.01 19.85000 289.7621 0.0000 0.0000 0.0000 0.0000 1041.4582 520.7291 329.4866 423.1038 -69.8913 0.0000 0.0000
40.03 15.07.2018 05.40.01 19.85000 290.4364 0.0000 0.0000 0.0000 0.0000 980.6148 490.3074 333.1329 446.8815 -84.1971 0.0000 0.0000
50.03 15.07.2018 05.50.01 19.85000 290.9465 0.4884 0.0015 0.0015 0.0000 911.1427 455.5713 335.7643 462.6607 -91.6530 0.0000 0.0000
60.03 15.07.2018 06.00.01 19.85040 291.4657 0.7185 0.0022 0.0022 0.0000 837.9229 418.9615 337.8715 474.0947 -98.5815 0.0000 0.0000
70.03 15.07.2018 06.10.01 19.85128 291.7601 0.9499 0.0030 0.0030 0.0000 806.5922 403.2961 339.7083 482.6497 -106.7202 0.0000 0.0000
80.03 15.07.2018 06.20.01 19.85220 292.0525 2.1164 0.0066 0.0066 0.0000 777.0654 388.5327 341.8844 489.1299 -115.7842 0.0000 0.0000
90.03 15.07.2018 06.30.01 19.85403 292.3316 2.9185 0.0091 0.0091 0.0000 746.0904 373.0452 343.9947 493.2387 -124.6740 0.0000 0.0000
100.03 15.07.2018 06.40.01 19.85641 292.6034 3.9547 0.0124 0.0124 0.0000 727.5346 363.7673 346.1301 495.6991 -132.8011 0.0000 0.0000
110.03 15.07.2018 06.50.01 19.85958 292.8774 5.4857 0.0171 0.0171 0.0000 717.7307 358.8654 348.4042 497.0962 -140.7374 0.0000 0.0000
120.03 15.07.2018 07.00.01 19.86382 293.1598 7.2650 0.0227 0.0227 0.0000 708.6426 354.3213 350.5723 497.5790 -148.0919 0.0000 0.0000
130.03 15.07.2018 07.10.01 19.86923 293.4868 9.1691 0.0287 0.0287 0.0000 704.3275 352.1637 352.5568 498.7481 -144.7269 0.0000 0.0000
140.03 15.07.2018 07.20.01 19.87597 293.8268 10.9687 0.0343 0.0343 0.0000 700.3630 350.1815 354.6586 500.1848 -141.1095 0.0000 0.0000
150.03 15.07.2018 07.30.01 19.88387 294.1712 12.9137 0.0404 0.0404 0.0000 694.0902 347.0451 356.6559 501.6384 -137.8094 0.0000 0.0000
160.03 15.07.2018 07.40.01 19.89306 294.5229 14.8648 0.0465 0.0465 0.0000 692.4456 346.2228 358.8071 503.2842 -134.4249 0.0000 0.0000
170.03 15.07.2018 07.50.01 19.90359 294.8803 16.8618 0.0527 0.0527 0.0000 689.1552 344.5776 360.8983 505.0982 -131.3968 0.0000 0.0000
