# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.91573 288.3596 119.7349 0.5252 -0.6413 1.5553 323.0686 169.9647 322.1686 381.2131 -30.3534 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.95135 289.1176 173.5725 0.7613 -1.1446 2.5412 555.0551 290.9120 325.2512 400.1052 -49.4310 0.0000 0.0000
30.03 15.07.2018 05.30.01 20.01907 289.9643 251.5561 1.1033 -1.6787 3.7093 775.8781 405.0302 329.1389 423.0207 -72.3122 0.0000 0.0000
40.03 15.07.2018 05.40.01 20.13088 290.8327 312.9037 1.3724 -2.3058 4.9042 713.9090 371.1133 333.5774 435.5418 -80.5583 0.0000 0.0000
50.03 15.07.2018 05.50.01 20.27209 291.4617 182.6307 0.8010 -2.9700 5.0280 644.9527 333.8497 336.1803 441.1409 -85.3010 0.0000 0.0000
60.03 15.07.2018 06.00.01 20.35934 291.9994 93.2936 0.4092 -3.2834 4.9234 577.5103 297.6674 338.1164 443.8100 -88.2509 0.0000 0.0000
70.03 15.07.2018 06.10.01 20.40954 292.2598 57.4058 0.2518 -3.3681 4.8265 539.8005 276.9585 339.7231 445.2340 -90.9271 0.0000 0.0000
80.03 15.07.2018 06.20.01 20.44595 292.5123 77.3665 0.3393 -3.3612 4.9340 502.1577 256.1318 341.7389 445.4695 -92.5137 0.0000 0.0000
90.03 15.07.2018 06.30.01 20.49218 292.7474 84.4371 0.3703 -3.3798 5.0002 472.4398 240.0896 343.6559 445.5101 -93.9329 0.0000 0.0000
100.03 15.07.2018 06.40.01 20.54324 293.0196 102.3248 0.4488 -3.3970 5.1278 449.1119 227.0904 345.6269 444.8503 -93.4987 0.0000 0.0000
110.03 15.07.2018 06.50.01 20.61102 293.3040 436.1333 1.9129 -3.4706 7.1780 445.7584 224.6230 347.7248 446.0284 -95.3673 0.0000 0.0000
120.03 15.07.2018 07.00.01 20.83157 293.6067 706.4131 3.0983 -4.2666 9.8199 449.4673 225.9423 349.8133 447.8211 -97.7630 0.0000 0.0000
130.03 15.07.2018 07.10.01 21.17596 293.9286 827.1533 3.6279 -5.6054 12.3110 455.0618 228.0978 351.4491 449.9346 -94.0673 0.0000 0.0000
140.03 15.07.2018 07.20.01 21.57888 294.2424 891.7636 3.9112 -7.1480 14.7457 461.0242 230.5160 353.3645 452.3623 -91.8397 0.0000 0.0000
150.03 15.07.2018 07.30.01 22.01476 294.5620 907.0084 3.9781 -8.7680 16.9948 466.0138 232.4881 355.4019 454.8154 -90.3750 0.0000 0.0000
160.03 15.07.2018 07.40.01 22.46209 294.8967 928.3618 4.0718 -10.3624 19.2456 474.1406 236.1246 357.4980 457.6216 -89.2766 0.0000 0.0000
170.03 15.07.2018 07.50.01 22.92251 295.2204 923.2303 4.0493 -11.9478 21.3294 481.0102 239.1330 359.5304 460.4038 -88.6187 0.0000 0.0000
180.03 15.07.2018 08.00.01 23.38314 295.5454 875.4000 3.8395 -13.4673 23.0758 485.6231 241.0417 361.4279 462.9816 -88.0049 0.0000 0.0000
190.03 15.07.2018 08.10.01 23.82620 295.7338 882.6905 3.8714 -14.8438 24.9536 491.5500 243.6809 363.7394 466.4826 -83.5060 0.0000 0.0000
200.03 15.07.2018 08.20.01 24.27413 295.7605 857.0034 3.7588 -16.2005 26.6123 495.9549 245.5751 365.8934 469.2384 -85.1272 0.0000 0.0000
210.03 15.07.2018 08.30.01 24.71282 296.0391 837.5099 3.6733 -17.4649 28.1843 499.9449 247.2833 368.1338 471.4434 -90.6055 0.0000 0.0000
220.03 15.07.2018 08.40.01 25.14504 296.3072 821.5184 3.6031 -18.6531 29.6750 504.7278 249.3713 370.3002 474.3358 -89.6504 0.0000 0.0000
230.03 15.07.2018 08.50.01 25.57162 296.5556 799.6329 3.5072 -19.7794 31.0487 508.9504 251.2118 372.4026 477.1259 -89.8338 0.0000 0.0000
240.03 15.07.2018 09.00.01 25.98934 296.5318 758.4940 3.3267 -20.8342 32.2145 512.3522 252.7161 374.4395 479.4264 -92.3654 0.0000 0.0000
250.03 15.07.2018 09.10.01 26.38845 297.0174 686.1365 3.0094 -21.7760 33.0472 512.0331 252.3850 376.0760 482.4772 -80.1001 0.0000 0.0000
260.03 15.07.2018 09.20.01 26.75784 297.6045 655.0674 2.8731 -22.5220 33.8602 512.6731 252.6451 377.6168 484.3241 -83.9180 0.0000 0.0000
270.03 15.07.2018 09.30.01 27.11453 298.0454 631.8400 2.7712 -23.1831 34.6058 513.3248 252.9606 378.6924 484.0453 -99.4389 0.0000 0.0000
280.03 15.07.2018 09.40.01 27.46130 298.3066 619.4962 2.7171 -23.7887 35.3411 515.3041 253.9222 380.5552 486.9275 -95.4750 0.0000 0.0000
290.03 15.07.2018 09.50.01 27.80236 298.1524 596.0883 2.6144 -24.3628 35.9696 516.8151 254.6832 382.5748 489.0710 -97.4398 0.0000 0.0000
300.03 15.07.2018 10.00.01 28.13207 298.2146 543.4125 2.3834 -24.8770 36.3472 517.0175 254.8486 383.7929 488.7668 -106.1221 0.0000 0.0000
310.03 15.07.2018 10.10.01 28.43969 298.4381 559.5547 2.4542 -25.2756 36.9730 517.9114 255.0777 384.6270 489.6529 -103.6780 0.0000 0.0000
320.03 15.07.2018 10.20.01 28.75497 298.7872 573.3428 2.5147 -25.7019 37.6221 519.6074 255.7688 385.8762 491.1943 -101.0731 0.0000 0.0000
330.03 15.07.2018 10.30.01 29.07675 299.0031 552.5681 2.4235 -26.1403 38.0851 519.7029 255.6414 386.8846 492.2248 -99.9814 0.0000 0.0000
340.03 15.07.2018 10.40.01 29.39028 299.0693 549.6021 2.4105 -26.5256 38.5815 520.9632 256.1159 387.8245 492.8033 -98.9031 0.0000 0.0000
350.03 15.07.2018 10.50.01 29.70190 299.3866 538.0052 2.3597 -26.8793 38.9853 521.6765 256.3320 388.6438 493.2178 -99.6546 0.0000 0.0000
360.03 15.07.2018 11.00.01 30.00884 299.6491 502.2084 2.2027 -27.1959 39.1981 521.6088 256.2239 389.4004 493.5334 -100.6985 0.0000 0.0000
370.03 15.07.2018 11.10.01 30.29980 299.7294 443.8037 1.9465 -27.4281 39.1661 518.5719 254.7014 390.2661 494.8001 -98.2642 0.0000 0.0000
380.03 15.07.2018 11.20.01 30.56426 299.8044 398.5527 1.7480 -27.5364 39.0459 515.1156 252.9941 391.1297 496.0425 -96.0338 0.0000 0.0000
390.03 15.07.2018 11.30.01 30.80776 299.8857 358.6059 1.5728 -27.5525 38.8338 511.1478 251.0491 391.9142 497.2289 -93.8819 0.0000 0.0000
400.03 15.07.2018 11.40.01 31.03301 300.0960 333.4127 1.4623 -27.4859 38.5977 507.5505 249.2606 392.3956 498.8487 -91.0022 0.0000 0.0000
410.03 15.07.2018 11.50.01 31.24645 300.1824 312.8383 1.3721 -27.3720 38.3254 504.2086 247.6533 392.8535 498.8006 -91.9401 0.0000 0.0000
420.03 15.07.2018 12.00.01 31.44921 300.2417 256.0446 1.1230 -27.2247 37.7969 499.1356 245.2002 393.2277 498.3399 -92.8591 0.0000 0.0000
430.03 15.07.2018 12.10.01 31.62551 300.4902 204.3508 0.8963 -26.9639 37.1469 492.9402 242.2869 393.7425 499.8605 -87.6006 0.0000 0.0000
440.03 15.07.2018 12.20.01 31.77773 300.6222 162.5790 0.7131 -26.6027 36.4210 486.6588 239.3795 394.0763 498.3108 -90.7052 0.0000 0.0000
450.03 15.07.2018 12.30.01 31.90975 300.6977 122.0333 0.5352 -26.1672 35.6033 479.8896 236.2476 393.9557 496.3278 -95.5570 0.0000 0.0000
460.03 15.07.2018 12.40.01 32.02191 300.7717 101.3835 0.4447 -25.6694 34.8188 473.9647 233.5205 393.8289 494.8570 -96.2913 0.0000 0.0000
470.03 15.07.2018 12.50.01 32.12286 300.8216 110.0178 0.4825 -25.1574 34.1866 470.5275 232.1713 394.1401 493.6924 -99.3998 0.0000 0.0000
480.03 15.07.2018 13.00.01 32.22476 300.8763 47.6455 0.2090 -24.6873 33.1950 463.7131 229.0660 394.1779 492.0050 -102.4357 0.0000 0.0000
490.03 15.07.2018 13.10.01 32.29693 300.9335 -9.7456 -0.0427 -24.1012 32.0780 453.9131 224.4591 394.0741 491.4680 -99.1445 0.0000 0.0000
500.03 15.07.2018 13.20.01 32.34179 300.9835 -66.4691 -0.2915 -23.4100 30.8246 442.5880 219.0400 393.8885 490.7720 -95.3560 0.0000 0.0000
510.03 15.07.2018 13.30.01 32.35922 301.0243 -112.0050 -0.4912 -22.6182 29.5027 430.6819 213.3246 393.5944 489.9762 -91.5134 0.0000 0.0000
520.03 15.07.2018 13.40.01 32.35421 301.0631 -139.6348 -0.6124 -21.7558 28.1912 419.2877 207.8546 393.2209 489.1454 -87.7329 0.0000 0.0000
530.03 15.07.2018 13.50.01 32.33462 301.1030 -155.8555 -0.6836 -20.8642 26.9075 408.5457 202.7546 392.9395 488.3831 -84.2839 0.0000 0.0000
540.03 15.07.2018 14.00.01 32.30496 301.1355 -203.3491 -0.8919 -19.9658 25.4319 396.3714 196.9410 392.5525 487.3661 -80.8618 0.0000 0.0000
550.03 15.07.2018 14.10.01 32.25079 301.0997 -331.3563 -1.4533 -18.9887 23.3805 375.4609 187.0602 392.9297 486.5974 -74.4544 0.0000 0.0000
560.03 15.07.2018 14.20.01 32.13699 301.0807 -427.1189 -1.8733 -17.7624 21.1855 352.1096 175.8260 392.8287 485.1091 -68.2128 0.0000 0.0000
570.03 15.07.2018 14.30.01 31.97750 301.0893 -455.9370 -1.9997 -16.3722 19.1633 330.2444 165.3523 392.8382 483.5751 -62.6453 0.0000 0.0000
580.03 15.07.2018 14.40.01 31.80184 301.1359 -451.9899 -1.9824 -14.9680 17.3142 309.4459 155.4440 393.0967 482.2329 -56.9274 0.0000 0.0000
590.03 15.07.2018 14.50.01 31.62435 301.1425 -465.2680 -2.0406 -13.6150 15.4324 287.1949 144.6885 393.0727 480.3448 -51.6008 0.0000 0.0000
600.03 15.07.2018 15.00.01 31.43798 301.1307 -470.2416 -2.0625 -12.2755 13.6174 265.3652 134.1351 392.8810 478.1986 -46.7825 0.0000 0.0000
610.03 15.07.2018 15.10.01 31.24700 301.0844 -390.9859 -1.7148 -10.9861 12.3617 257.2228 130.7128 392.0530 475.9311 -48.6322 0.0000 0.0000
