# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.93395 288.7462 197.1324 0.6318 -0.7052 1.7828 314.9396 167.6982 323.7429 384.5944 -29.9831 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.98367 289.4392 274.9638 0.8813 -1.3089 2.9203 551.7610 293.6023 326.9556 408.0760 -49.7438 0.0000 0.0000
30.03 15.07.2018 05.30.01 20.06835 290.2424 373.4793 1.1970 -1.9681 4.2202 626.1666 321.9408 331.7026 410.0594 -54.6014 0.0000 0.0000
40.03 15.07.2018 05.40.01 20.19995 291.0119 424.1722 1.3595 -2.7089 5.4246 585.5922 300.3575 336.7018 422.0993 -63.8452 0.0000 0.0000
50.03 15.07.2018 05.50.01 20.35287 291.6339 217.5170 0.6972 -3.4251 5.4963 535.5553 273.9644 338.8239 428.0400 -68.6052 0.0000 0.0000
60.03 15.07.2018 06.00.01 20.43792 292.1304 111.3612 0.3569 -3.7120 5.4253 486.0124 247.9723 340.4809 431.4056 -72.3434 0.0000 0.0000
70.03 15.07.2018 06.10.01 20.48831 292.3742 81.4906 0.2612 -3.7829 5.3922 460.4782 234.2862 341.7113 433.5119 -75.4676 0.0000 0.0000
80.03 15.07.2018 06.20.01 20.53008 292.6310 109.3247 0.3504 -3.7916 5.5227 437.3300 221.9083 343.0105 434.9666 -78.0179 0.0000 0.0000
90.03 15.07.2018 06.30.01 20.58270 292.8963 126.2996 0.4048 -3.8375 5.6564 432.7791 220.6842 344.5376 438.4748 -81.9961 0.0000 0.0000
100.03 15.07.2018 06.40.01 20.64306 293.1984 159.1330 0.5100 -3.9004 5.8806 417.9278 212.5603 346.2751 439.0248 -82.5700 0.0000 0.0000
110.03 15.07.2018 06.50.01 20.72613 293.5496 676.2470 2.1675 -4.0486 8.2881 419.4546 212.6158 348.2596 440.9917 -84.8437 0.0000 0.0000
120.03 15.07.2018 07.00.01 20.99810 293.8673 1062.5018 3.4055 -5.0942 11.3329 425.9998 215.1995 350.2230 443.2356 -87.6230 0.0000 0.0000
130.03 15.07.2018 07.10.01 21.41250 294.1796 1233.5450 3.9537 -6.7590 14.2835 435.0789 219.0156 352.2206 445.9829 -85.6268 0.0000 0.0000
140.03 15.07.2018 07.20.01 21.89410 294.4796 1306.3783 4.1871 -8.6478 17.1132 444.0940 222.8841 354.2644 448.8364 -85.0055 0.0000 0.0000
150.03 15.07.2018 07.30.01 22.40771 294.7938 1326.2281 4.2507 -10.5873 19.7840 452.4452 226.4733 356.3963 451.6094 -85.2368 0.0000 0.0000
160.03 15.07.2018 07.40.01 22.93426 295.1152 1332.9316 4.2722 -12.4907 22.3505 462.1368 230.7548 358.4277 454.4252 -85.5723 0.0000 0.0000
170.03 15.07.2018 07.50.01 23.46829 295.4481 1328.1909 4.2570 -14.3421 24.7988 471.3063 234.8119 360.5317 457.3339 -86.1937 0.0000 0.0000
180.03 15.07.2018 08.00.01 24.00433 295.7815 1271.4382 4.0751 -16.1227 26.9304 478.6385 238.0055 362.6279 460.1058 -86.8595 0.0000 0.0000
190.03 15.07.2018 08.10.01 24.52456 296.0638 1258.1313 4.0325 -17.7546 29.0495 485.6446 241.0506 364.8425 463.3420 -84.2213 0.0000 0.0000
200.03 15.07.2018 08.20.01 25.04272 296.1537 1220.8450 3.9130 -19.3199 30.9771 491.4781 243.5369 366.8407 465.8207 -87.5048 0.0000 0.0000
210.03 15.07.2018 08.30.01 25.55074 296.3652 1192.5175 3.8222 -20.7769 32.7988 497.0088 245.9209 368.8731 468.0456 -91.7877 0.0000 0.0000
220.03 15.07.2018 08.40.01 26.05117 296.5708 1167.1127 3.7407 -22.1513 34.5228 503.0416 248.5408 370.8486 471.1673 -89.7717 0.0000 0.0000
230.03 15.07.2018 08.50.01 26.54397 296.7686 1131.5238 3.6267 -23.4571 36.1116 508.3656 250.8372 372.8666 474.4276 -88.4551 0.0000 0.0000
240.03 15.07.2018 09.00.01 27.02514 297.0250 1071.7527 3.4351 -24.6705 37.4742 512.8226 252.7846 375.0624 477.8103 -87.5993 0.0000 0.0000
250.03 15.07.2018 09.10.01 27.48608 297.5342 977.7062 3.1337 -25.7401 38.4983 513.9673 253.1249 376.9066 481.3772 -76.1980 0.0000 0.0000
260.03 15.07.2018 09.20.01 27.91638 297.8694 936.4475 3.0014 -26.6129 39.4858 515.6404 253.8103 378.6106 483.0954 -84.1362 0.0000 0.0000
270.03 15.07.2018 09.30.01 28.33236 298.1857 888.3303 2.8472 -27.4018 40.3321 516.6653 254.2126 379.7640 482.8857 -99.4856 0.0000 0.0000
280.03 15.07.2018 09.40.01 28.73177 298.6139 874.7294 2.8036 -28.1006 41.2056 519.2138 255.3685 381.6854 486.2902 -93.7676 0.0000 0.0000
290.03 15.07.2018 09.50.01 29.12676 298.7453 848.4779 2.7195 -28.7625 41.9760 521.4063 256.3886 383.8705 489.4461 -92.7005 0.0000 0.0000
300.03 15.07.2018 10.00.01 29.51162 298.5040 771.5794 2.4730 -29.3688 42.4558 522.0298 256.6864 385.3149 490.8637 -96.1223 0.0000 0.0000
310.03 15.07.2018 10.10.01 29.87057 298.6400 805.4030 2.5814 -29.8430 43.2325 523.8928 257.3640 386.3585 492.5483 -94.6276 0.0000 0.0000
320.03 15.07.2018 10.20.01 30.24172 298.7465 817.8315 2.6213 -30.3720 43.9910 525.9339 258.1622 387.6405 494.1481 -94.2075 0.0000 0.0000
330.03 15.07.2018 10.30.01 30.61694 298.8362 770.5557 2.4697 -30.9100 44.5063 525.9146 257.9077 388.6839 494.9479 -95.0023 0.0000 0.0000
340.03 15.07.2018 10.40.01 30.97646 298.9166 777.7036 2.4926 -31.3621 45.1396 527.7635 258.6218 389.6676 495.5424 -96.5553 0.0000 0.0000
350.03 15.07.2018 10.50.01 31.33740 299.0784 750.9221 2.4068 -31.7993 45.6081 528.4062 258.7366 390.6087 496.0188 -97.9310 0.0000 0.0000
360.03 15.07.2018 11.00.01 31.68850 299.2877 684.6254 2.1943 -32.1838 45.8374 527.7704 258.2647 391.3961 496.3235 -99.1753 0.0000 0.0000
370.03 15.07.2018 11.10.01 32.01595 299.3801 607.3109 1.9465 -32.4472 45.8583 524.9885 256.8216 392.3699 497.9656 -96.1322 0.0000 0.0000
