# BldgNr BuildingName Surface Volume
1 6  408.00 1008.00
2 7  812.00 1984.00
3 8  368.00 960.00
4 9  320.00 672.00
5 11  280.00 768.00
6 12  624.00 1792.00
7 13  276.00 720.00
8 14  312.00 864.00
9 15  748.00 2640.00
10 17  256.00 768.00
11 18  288.00 864.00
12 20  352.00 1056.00
13 21  272.00 960.00
14 22  288.00 864.00
15 23  228.00 720.00
16 24  560.00 1824.00
17 25  352.00 1056.00
18 26  400.00 1152.00
19 27  368.00 1152.00
20 28  276.00 832.00
21 29  212.00 224.00
22 31  452.00 1344.00
23 32  476.00 1280.00
24 34  328.00 672.00
