# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.87515 288.3845 47.6331 0.1861 -0.2426 0.5716 301.9497 158.7183 323.7361 381.2924 -28.9218 0.0305 0.0000
20.02 15.07.2018 05.20.00 19.88769 289.1998 67.5128 0.2637 -0.4293 0.9241 519.4756 272.0966 327.2402 398.7049 -44.6207 0.0864 0.0000
30.03 15.07.2018 05.30.01 19.91149 290.0691 94.5016 0.3691 -0.6220 1.3216 679.2149 350.7349 331.4481 412.9547 -58.2368 0.1870 0.0000
40.03 15.07.2018 05.40.01 19.94973 290.8279 107.9917 0.4218 -0.8422 1.6854 630.1427 324.7076 335.8542 425.0702 -67.2630 0.2677 0.0000
50.03 15.07.2018 05.50.01 19.99444 291.4161 56.1113 0.2192 -1.0569 1.7014 574.1033 295.0399 338.0518 431.2003 -72.6963 0.3769 0.0000
60.03 15.07.2018 06.00.01 20.01937 291.9349 29.2538 0.1143 -1.1435 1.6770 519.1484 266.0851 340.3214 434.6277 -76.8814 0.5017 0.0000
70.03 15.07.2018 06.10.01 20.03448 292.1939 21.7167 0.0848 -1.1623 1.6629 490.5412 250.6781 341.8192 436.8673 -80.4083 0.7239 0.0000
80.03 15.07.2018 06.20.01 20.04748 292.4609 29.0619 0.1135 -1.1575 1.6948 464.3123 236.6225 343.4935 438.2804 -83.1547 0.9510 0.0000
90.03 15.07.2018 06.30.01 20.06414 292.7588 35.6284 0.1392 -1.1584 1.7301 438.3068 222.6969 345.5563 438.7328 -84.5982 1.2454 0.0000
100.03 15.07.2018 06.40.01 20.08459 293.1743 46.3180 0.1809 -1.1640 1.7932 422.0199 213.8551 348.5579 439.0913 -84.4632 1.6390 0.0000
110.03 15.07.2018 06.50.01 20.11288 293.6101 178.6837 0.6980 -1.1926 2.5207 412.8815 208.7867 351.2753 440.1177 -85.0131 2.2479 0.0000
120.03 15.07.2018 07.00.01 20.19720 293.9118 279.9962 1.0937 -1.4835 3.4363 405.6140 204.7068 353.0594 440.8284 -85.9906 2.8595 0.0000
130.03 15.07.2018 07.10.01 20.32452 294.1658 327.5427 1.2795 -1.9639 4.3245 402.6096 202.7177 354.5894 441.9159 -81.8536 3.4743 0.0000
140.03 15.07.2018 07.20.01 20.47292 294.4121 352.0628 1.3752 -2.5211 5.1951 401.9342 201.9651 356.1584 443.1967 -79.0844 4.0955 0.0000
150.03 15.07.2018 07.30.01 20.63293 294.6938 362.3209 1.4153 -3.1080 6.0310 402.6705 201.9657 357.8892 444.6466 -77.0139 4.7298 0.0000
160.03 15.07.2018 07.40.01 20.79858 294.9890 366.2831 1.4308 -3.6968 6.8367 405.9558 203.2544 359.6802 446.2808 -75.1641 5.3879 0.0000
170.03 15.07.2018 07.50.01 20.96716 295.3012 365.3578 1.4272 -4.2759 7.6041 409.7800 204.8466 361.5999 448.1149 -73.8322 6.0763 0.0000
180.03 15.07.2018 08.00.01 21.13619 295.6240 350.4642 1.3690 -4.8352 8.2723 413.1207 206.2340 363.5527 450.0245 -72.8492 6.8027 0.0000
190.03 15.07.2018 08.10.01 21.30026 295.9041 345.2465 1.3486 -5.3498 8.9312 416.3289 207.5766 365.7127 452.5582 -68.1041 7.5640 0.0000
200.03 15.07.2018 08.20.01 21.46295 295.9743 334.2477 1.3057 -5.8411 9.5290 419.0136 208.6699 367.5825 454.3802 -70.3972 8.3577 0.0000
210.03 15.07.2018 08.30.01 21.62197 296.1694 325.7105 1.2723 -6.2965 10.0917 421.8929 209.9070 369.6660 455.9290 -74.1645 9.1887 0.0000
220.03 15.07.2018 08.40.01 21.77819 296.5047 318.2226 1.2431 -6.7241 10.6229 425.3739 211.4087 372.2800 458.0877 -71.8610 10.0325 0.0000
230.03 15.07.2018 08.50.01 21.93173 296.9013 308.3368 1.2044 -7.1290 11.1112 428.4000 212.7064 375.1703 460.4121 -70.6597 10.8724 0.0000
240.03 15.07.2018 09.00.01 22.08151 297.3056 292.2408 1.1416 -7.5045 11.5281 431.2826 214.0137 378.4043 462.7792 -71.1440 11.7077 0.0000
250.03 15.07.2018 09.10.01 22.22503 297.5981 269.1577 1.0514 -7.8344 11.8477 431.6685 214.1058 379.2011 466.7689 -57.4683 12.5729 0.0000
260.03 15.07.2018 09.20.01 22.36001 297.7689 257.9085 1.0075 -8.1056 12.1507 432.8698 214.7037 379.5210 469.0742 -64.5217 13.4970 0.0000
270.03 15.07.2018 09.30.01 22.49069 297.9330 245.6498 0.9596 -8.3478 12.4098 433.5488 215.0720 379.7291 469.4008 -80.1482 14.4800 0.0000
280.03 15.07.2018 09.40.01 22.61663 298.6656 242.2023 0.9461 -8.5612 12.6764 435.5342 216.0809 383.1402 471.4371 -75.9523 15.4578 0.0000
290.03 15.07.2018 09.50.01 22.74142 299.1506 235.6424 0.9205 -8.7630 12.9113 437.3937 217.0673 387.9980 473.2992 -77.5000 16.3707 0.0000
300.03 15.07.2018 10.00.01 22.86340 299.4488 216.4068 0.8453 -8.9477 13.0574 438.2148 217.5803 394.7885 474.9150 -81.9995 16.9735 0.0000
310.03 15.07.2018 10.10.01 22.97802 299.6838 224.1830 0.8757 -9.0901 13.2878 438.8225 217.7050 396.7170 476.4711 -81.0756 17.4255 0.0000
320.03 15.07.2018 10.20.01 23.09622 299.8413 227.9058 0.8903 -9.2443 13.5127 439.8705 218.1046 398.1867 478.1355 -81.0082 17.8334 0.0000
330.03 15.07.2018 10.30.01 23.21615 300.0735 217.7842 0.8507 -9.3989 13.6662 439.2547 217.6228 400.0071 479.7086 -80.7425 18.1664 0.0000
340.03 15.07.2018 10.40.01 23.33251 300.2113 220.9585 0.8631 -9.5265 13.8529 440.3652 218.0610 400.8029 481.2461 -81.0791 18.4607 0.0000
350.03 15.07.2018 10.50.01 23.45022 300.3850 216.2943 0.8449 -9.6485 13.9912 440.4965 217.9921 401.5102 482.6319 -81.4711 19.0111 0.0000
360.03 15.07.2018 11.00.01 23.56643 300.5930 201.8085 0.7883 -9.7542 14.0567 439.8983 217.6082 402.0999 483.8823 -81.9243 19.5594 0.0000
370.03 15.07.2018 11.10.01 23.67700 300.6647 184.1984 0.7195 -9.8248 14.0592 437.7496 216.5494 402.8400 485.3127 -80.7331 20.1169 0.0000
380.03 15.07.2018 11.20.01 23.78036 300.7628 166.9667 0.6522 -9.8573 14.0127 434.6830 215.0208 403.5715 486.5627 -79.6295 20.7004 0.0000
390.03 15.07.2018 11.30.01 23.87737 300.8666 150.7355 0.5888 -9.8546 13.9246 430.9521 213.1626 404.1359 487.5919 -78.8309 21.3147 0.0000
400.03 15.07.2018 11.40.01 23.96731 301.0186 147.2190 0.5751 -9.8149 13.8533 428.3105 211.8588 404.5607 488.7299 -76.9364 21.9782 0.0000
410.03 15.07.2018 11.50.01 24.05581 301.1419 138.5777 0.5413 -9.7676 13.7452 425.1159 210.2843 404.9570 489.5603 -76.9124 22.6509 0.0000
420.03 15.07.2018 12.00.01 24.14071 301.2548 119.4420 0.4666 -9.7005 13.5561 420.8665 208.2133 405.2376 490.0635 -77.8031 23.2864 0.0000
430.03 15.07.2018 12.10.01 24.21774 301.3042 104.7270 0.4091 -9.5949 13.3387 416.3814 206.1450 405.7691 491.0375 -75.6794 23.9482 0.0000
440.03 15.07.2018 12.20.01 24.28848 301.3568 87.9522 0.3436 -9.4595 13.0707 411.0532 203.6546 406.1059 490.9568 -79.3587 24.5434 0.0000
450.03 15.07.2018 12.30.01 24.35235 301.0653 75.2579 0.2940 -9.2896 12.7781 405.6433 201.1568 402.3981 490.0027 -84.4849 25.1974 0.0000
460.03 15.07.2018 12.40.01 24.41100 300.9007 69.9761 0.2733 -9.0950 12.4911 400.7084 198.8717 396.5932 488.4538 -84.6686 26.8462 0.0000
470.03 15.07.2018 12.50.01 24.46740 300.7158 78.4219 0.3063 -8.8937 12.2667 398.4683 198.1009 394.5883 487.0457 -87.4546 28.9690 0.0000
480.03 15.07.2018 13.00.01 24.52642 300.7198 56.4107 0.2204 -8.7143 11.9129 393.1325 195.6892 393.7412 485.2961 -89.9582 31.2388 0.0000
490.03 15.07.2018 13.10.01 24.57598 300.7706 36.0021 0.1406 -8.4948 11.5139 385.1403 191.9268 393.3753 483.9304 -87.2009 33.5248 0.0000
500.03 15.07.2018 13.20.01 24.61678 300.8134 16.2519 0.0635 -8.2371 11.0674 375.9150 187.5022 392.9545 482.4977 -84.1946 35.7777 0.0000
510.03 15.07.2018 13.30.01 24.64901 300.8417 0.4737 0.0019 -7.9438 10.5942 366.1363 182.7891 392.4425 480.9997 -81.2905 37.9938 0.0000
520.03 15.07.2018 13.40.01 24.67434 300.8655 -7.8245 -0.0306 -7.6248 10.1256 356.8241 178.3012 391.8885 479.5049 -78.4241 40.1704 0.0000
530.03 15.07.2018 13.50.01 24.69576 300.8832 -12.4662 -0.0487 -7.2946 9.6612 347.9273 174.0554 391.3598 478.0825 -75.7231 42.3072 0.0000
540.03 15.07.2018 14.00.01 24.71456 300.8981 -28.5541 -0.1115 -6.9605 9.1319 337.9386 169.2624 390.7596 476.5841 -72.9962 44.4040 0.0000
550.03 15.07.2018 14.10.01 24.72592 300.9056 -76.6605 -0.2995 -6.5979 8.3980 321.0841 161.2979 391.0232 475.4820 -67.4629 46.4315 0.0000
560.03 15.07.2018 14.20.01 24.71697 300.8897 -108.6588 -0.4244 -6.1446 7.6269 302.5168 152.3620 390.9625 473.9517 -62.0958 48.3379 0.0000
570.03 15.07.2018 14.30.01 24.69421 300.9108 -116.6652 -0.4557 -5.6357 6.9066 284.9135 143.9188 390.9543 472.4164 -57.1292 50.1143 0.0000
580.03 15.07.2018 14.40.01 24.66732 300.9664 -113.2690 -0.4425 -5.1214 6.2387 268.0608 135.8856 391.2219 471.0371 -51.9605 51.7556 0.0000
590.03 15.07.2018 14.50.01 24.64108 300.9862 -113.8141 -0.4446 -4.6237 5.5721 250.2336 127.2622 391.3438 469.3618 -47.1440 53.2557 0.0000
600.03 15.07.2018 15.00.01 24.61392 300.9785 -113.2391 -0.4423 -4.1344 4.9227 232.5176 118.6705 391.3216 467.5021 -42.7535 54.6081 0.0000
610.03 15.07.2018 15.10.01 24.58633 300.8823 -80.1792 -0.3132 -3.6645 4.4684 226.1309 115.9951 390.3370 465.6637 -43.8257 55.2497 0.0000
620.03 15.07.2018 15.20.01 24.57256 300.6772 -52.8944 -0.2066 -3.2675 4.0811 217.4071 111.8010 389.1921 462.9905 -46.8333 55.8970 0.0000
630.03 15.07.2018 15.30.01 24.56930 300.6050 -38.3718 -0.1499 -2.9327 3.7105 208.8244 107.6542 388.2928 460.2573 -47.3415 56.5551 0.0000
640.03 15.07.2018 15.40.01 24.57156 300.4947 -27.0760 -0.1058 -2.6333 3.3700 200.5221 103.6592 387.5591 457.4927 -47.6271 57.2013 0.0000
650.03 15.07.2018 15.50.01 24.57806 300.3665 -21.1319 -0.0825 -2.3615 3.0386 192.0142 99.5100 386.7532 454.6007 -47.6512 57.8288 0.0000
660.03 15.07.2018 16.00.01 24.58660 300.2340 -17.4214 -0.0681 -2.1061 2.7174 183.8305 95.5096 385.8516 451.7197 -47.2099 58.4386 0.0000
670.03 15.07.2018 16.10.01 24.59619 300.1030 -24.6351 -0.0962 -1.8629 2.3556 174.5292 90.7673 383.7435 448.9152 -42.8647 59.0425 0.0000
680.03 15.07.2018 16.20.01 24.60232 299.9751 -26.7873 -0.1046 -1.6108 2.0083 165.9171 86.3845 381.6384 446.2353 -39.2336 59.6512 0.0000
690.03 15.07.2018 16.30.01 24.60708 299.8402 -22.9874 -0.0898 -1.3620 1.6963 157.9811 82.3607 379.5772 443.6424 -36.3976 60.2650 0.0000
700.03 15.07.2018 16.40.01 24.61309 299.6876 10.2309 0.0400 -1.1292 1.5589 147.7715 76.8702 377.5200 440.7242 -33.5118 60.8790 0.0000
710.03 15.07.2018 16.50.01 24.63186 299.5119 25.1990 0.0984 -0.9719 1.4271 141.1826 73.5436 375.4555 438.2505 -31.7416 61.4833 0.0000
720.03 15.07.2018 17.00.01 24.65627 299.3147 26.6998 0.1043 -0.8505 1.2730 133.8599 69.8131 373.6508 435.6714 -30.4550 61.9705 0.0000
730.03 15.07.2018 17.10.01 24.68102 299.0917 38.2265 0.1493 -0.7369 1.1817 128.6396 67.2079 372.1449 433.2845 -29.1780 62.3973 0.0000
740.03 15.07.2018 17.20.01 24.70995 298.8760 43.0609 0.1682 -0.6525 1.0943 123.3732 64.5691 370.7501 430.9816 -27.9198 62.7530 0.0000
750.03 15.07.2018 17.30.01 24.74038 298.6507 41.8337 0.1634 -0.5835 0.9959 117.6167 61.6541 369.1473 428.6398 -26.6537 63.0908 0.0000
760.03 15.07.2018 17.40.01 24.76983 298.4336 41.9565 0.1639 -0.5175 0.9085 126.5359 67.6012 367.6960 428.6522 -27.2230 63.3753 0.0000
770.03 15.07.2018 17.50.01 24.79885 298.2228 39.2316 0.1532 -0.4584 0.8155 118.4211 63.3376 366.1372 426.3261 -25.7330 63.6420 0.0000
780.03 15.07.2018 18.00.01 24.82620 297.9980 35.2084 0.1375 -0.4001 0.7169 114.4349 61.5600 364.5468 424.5575 -24.6813 63.8898 0.0000
790.03 15.07.2018 18.10.01 24.85134 297.4850 36.0769 0.1409 -0.3423 0.6443 102.6445 55.3148 362.8112 421.6508 -24.2455 64.1159 0.0000
800.03 15.07.2018 18.20.01 24.87591 296.9618 30.5566 0.1194 -0.2973 0.5555 89.9050 48.5260 360.9481 418.4034 -23.3810 64.3201 0.0000
810.03 15.07.2018 18.30.01 24.89730 296.4353 24.6855 0.0964 -0.2515 0.4639 76.6882 41.4550 359.0319 414.9288 -22.2912 64.5001 0.0000
820.03 15.07.2018 18.40.01 24.91549 295.9058 20.7606 0.0811 -0.2037 0.3798 56.9614 30.8176 357.1327 410.8379 -20.3958 64.6544 0.0000
830.03 15.07.2018 18.50.01 24.93127 295.3735 15.1183 0.0591 -0.1575 0.2888 36.4233 19.7039 355.2976 406.3968 -18.0928 64.7558 0.0000
840.03 15.07.2018 19.00.01 24.94396 294.8329 10.2723 0.0401 -0.1092 0.1992 15.8874 8.5877 353.3372 401.7675 -15.5302 64.8374 0.0000
850.03 15.07.2018 19.10.01 24.95394 294.1852 10.3285 0.0403 -0.0610 0.1352 12.9969 7.0349 351.4077 398.1495 -14.6663 64.8983 0.0000
860.03 15.07.2018 19.20.01 24.96310 293.5479 14.1314 0.0552 -0.0233 0.1047 11.1020 6.0268 349.6270 394.9505 -14.3391 64.9418 0.0000
870.03 15.07.2018 19.30.01 24.97305 292.9049 14.6079 0.0571 -0.0036 0.0809 9.2483 5.0330 347.9117 391.8997 -14.2810 64.9764 0.0000
880.03 15.07.2018 19.40.01 24.98242 292.2818 12.4820 0.0488 0.0052 0.0580 6.3354 3.4509 346.2358 388.9337 -13.9976 65.0012 0.0000
890.03 15.07.2018 19.50.01 24.99011 291.6570 8.8510 0.0346 0.0091 0.0339 3.3316 1.8162 344.5806 386.0441 -13.8263 65.0204 0.0000
900.03 15.07.2018 20.00.01 24.99554 291.0374 4.5578 0.0178 0.0105 0.0097 0.2735 0.1487 342.9395 383.2268 -13.7182 65.0349 0.0000
910.03 15.07.2018 20.10.01 24.99825 290.5957 3.4556 0.0135 0.0122 0.0017 0.0490 0.0266 341.3471 380.8362 -13.1944 65.0456 0.0000
920.03 15.07.2018 20.20.01 24.99990 290.1605 1.6897 0.0066 0.0064 0.0003 0.0088 0.0048 339.8168 378.6159 -12.8632 65.0517 0.0000
930.03 15.07.2018 20.30.01 25.00009 289.7314 -1.3120 -0.0051 -0.0052 0.0001 0.0016 0.0009 338.3088 376.5115 -12.6683 65.0569 0.0000
940.03 15.07.2018 20.40.01 24.99822 289.3085 -5.0933 -0.0199 -0.0199 0.0000 0.0003 0.0002 336.8158 374.5183 -12.4508 65.0609 0.0000
950.03 15.07.2018 20.50.01 24.99404 288.8898 -9.3857 -0.0367 -0.0367 0.0000 0.0001 0.0000 335.3181 372.6029 -12.3577 65.0640 0.0000
960.03 15.07.2018 21.00.01 24.98733 288.4917 -13.9026 -0.0543 -0.0543 0.0000 0.0000 0.0000 333.8410 370.7538 -12.3587 65.0671 0.0000
970.03 15.07.2018 21.10.01 24.97799 288.2567 -18.5450 -0.0724 -0.0724 0.0000 0.0000 0.0000 332.5240 369.2831 -11.1596 65.0701 0.0000
980.03 15.07.2018 21.20.01 24.96603 287.9638 -23.0775 -0.0901 -0.0901 0.0000 0.0000 0.0000 331.2182 367.9334 -10.2298 65.0729 0.0000
990.03 15.07.2018 21.30.01 24.95132 287.7323 -27.9437 -0.1092 -0.1092 0.0000 0.0000 0.0000 330.2988 366.1992 -11.0482 65.0757 0.0000
1000.03 15.07.2018 21.40.01 24.93408 287.7726 -31.7051 -0.1238 -0.1238 0.0000 0.0000 0.0000 329.2974 365.2674 -8.6837 65.0779 0.0000
1010.03 15.07.2018 21.50.01 24.91461 286.8780 -36.0473 -0.1408 -0.1408 0.0000 0.0000 0.0000 327.6907 363.3049 -11.4253 65.0798 0.0000
1020.03 15.07.2018 22.00.01 24.89239 286.5354 -40.9880 -0.1601 -0.1601 0.0000 0.0000 0.0000 326.5632 361.5427 -13.3905 65.0817 0.0000
1030.03 15.07.2018 22.10.01 24.86736 286.4066 -45.7391 -0.1787 -0.1787 0.0000 0.0000 0.0000 325.7936 360.2397 -12.5872 65.0829 0.0000
1040.03 15.07.2018 22.20.01 24.83984 286.2931 -49.4859 -0.1933 -0.1933 0.0000 0.0000 0.0000 325.1065 359.0459 -11.8466 65.0841 0.0000
1050.03 15.07.2018 22.30.01 24.81030 286.1487 -52.8925 -0.2066 -0.2066 0.0000 0.0000 0.0000 324.4406 357.9091 -11.3754 65.0848 0.0000
1060.03 15.07.2018 22.40.01 24.77883 286.0165 -56.3659 -0.2202 -0.2202 0.0000 0.0000 0.0000 323.8214 356.8550 -10.9305 65.0855 0.0000
1070.03 15.07.2018 22.50.01 24.74536 285.8844 -59.7545 -0.2334 -0.2334 0.0000 0.0000 0.0000 323.2210 355.8571 -10.5690 65.0862 0.0000
1080.03 15.07.2018 23.00.01 24.70995 285.7652 -63.0782 -0.2464 -0.2464 0.0000 0.0000 0.0000 322.6445 354.9149 -10.2473 65.0869 0.0000
1090.03 15.07.2018 23.10.01 24.67269 285.8483 -66.1885 -0.2585 -0.2585 0.0000 0.0000 0.0000 322.3167 354.3496 -8.6072 65.0876 0.0000
1100.03 15.07.2018 23.20.01 24.63369 285.7055 -69.3344 -0.2708 -0.2708 0.0000 0.0000 0.0000 321.8473 353.6410 -8.3619 65.0883 0.0000
1110.03 15.07.2018 23.30.01 24.59277 285.4887 -72.6174 -0.2837 -0.2837 0.0000 0.0000 0.0000 321.3841 352.7182 -8.9542 65.0890 0.0000
1120.03 15.07.2018 23.40.01 24.55010 285.6767 -75.0392 -0.2931 -0.2931 0.0000 0.0000 0.0000 320.9249 352.3348 -6.5397 65.0896 0.0000
1130.03 15.07.2018 23.50.01 24.50659 285.5597 -75.6639 -0.2956 -0.2956 0.0000 0.0000 0.0000 320.5011 351.6379 -6.8802 65.0896 0.0000
1140.03 16.07.2018 00.00.01 24.46224 285.1456 -78.5664 -0.3069 -0.3069 0.0000 0.0000 0.0000 319.9559 350.4642 -9.4424 65.0902 0.0000
1150.03 16.07.2018 00.10.01 24.41570 285.1335 -82.6381 -0.3228 -0.3228 0.0000 0.0000 0.0000 319.5640 349.8128 -8.7200 65.0909 0.0000
1160.03 16.07.2018 00.20.01 24.36724 285.1495 -85.3799 -0.3335 -0.3335 0.0000 0.0000 0.0000 319.2784 349.2593 -7.9621 65.0916 0.0000
1170.03 16.07.2018 00.30.01 24.31747 285.1546 -87.0578 -0.3401 -0.3401 0.0000 0.0000 0.0000 319.0268 348.7443 -7.3176 65.0918 0.0000
1180.03 16.07.2018 00.40.01 24.26690 285.1654 -88.4070 -0.3453 -0.3453 0.0000 0.0000 0.0000 318.7692 348.2767 -6.6870 65.0920 0.0000
1190.03 16.07.2018 00.50.01 24.21563 285.1658 -89.4299 -0.3493 -0.3493 0.0000 0.0000 0.0000 318.5372 347.8378 -6.1466 65.0920 0.0000
1200.03 16.07.2018 01.00.01 24.16372 285.1597 -90.2018 -0.3524 -0.3524 0.0000 0.0000 0.0000 318.3337 347.4267 -5.6793 65.0920 0.0000
1210.03 16.07.2018 01.10.01 24.11154 285.0256 -91.1413 -0.3560 -0.3560 0.0000 0.0000 0.0000 317.9385 346.8740 -5.7956 65.0920 0.0000
1220.03 16.07.2018 01.20.01 24.05868 284.8569 -91.5897 -0.3578 -0.3578 0.0000 0.0000 0.0000 317.5361 346.2845 -6.0830 65.0920 0.0000
1230.03 16.07.2018 01.30.01 24.00558 284.6762 -92.1319 -0.3599 -0.3599 0.0000 0.0000 0.0000 317.1133 345.6814 -6.4290 65.0920 0.0000
1240.03 16.07.2018 01.40.01 23.95248 284.5401 -92.9446 -0.3631 -0.3631 0.0000 0.0000 0.0000 316.6918 345.1483 -6.4221 65.0920 0.0000
1250.03 16.07.2018 01.50.01 23.89877 284.4153 -93.0170 -0.3633 -0.3633 0.0000 0.0000 0.0000 316.2915 344.6288 -6.3648 65.0917 0.0000
1260.03 16.07.2018 02.00.01 23.84503 284.2890 -93.0072 -0.3633 -0.3633 0.0000 0.0006 0.0003 315.8456 344.1094 -6.3191 65.0901 0.0000
