# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.90356 289.1381 289.5289 0.5170 -0.4567 1.2983 240.6732 121.2381 323.7434 371.7454 -16.1633 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.94378 289.7702 483.6764 0.8637 -0.8873 2.3347 414.1391 208.3341 327.9669 383.0992 -27.4696 0.0000 0.0000
30.03 15.07.2018 05.30.01 20.02343 290.5730 700.8718 1.2516 -1.4268 3.5711 669.6068 345.4223 334.3551 414.6872 -54.7498 0.0000 0.0000
40.03 15.07.2018 05.40.01 20.15078 291.4396 940.3134 1.6791 -2.0899 5.0254 615.6696 318.4298 342.8538 430.4094 -66.1072 0.0000 0.0000
50.03 15.07.2018 05.50.01 20.32165 291.9334 564.7026 1.0084 -2.8639 5.1630 588.2878 304.2694 345.9818 438.1981 -74.3540 0.0000 0.0000
60.03 15.07.2018 06.00.01 20.42889 292.2373 295.0113 0.5268 -3.2574 5.0456 554.7146 286.8313 347.6741 443.1084 -80.2135 0.0000 0.0000
70.03 15.07.2018 06.10.01 20.48940 292.4048 159.1643 0.2842 -3.3985 4.9103 555.9605 287.1535 348.7562 447.5911 -85.1904 0.0000 0.0000
80.03 15.07.2018 06.20.01 20.52670 292.6101 149.1379 0.2663 -3.4180 4.9124 546.4199 281.0849 350.1671 450.1399 -88.4269 0.0000 0.0000
90.03 15.07.2018 06.30.01 20.61651 292.8344 6093.9858 10.8821 -3.6718 19.4052 574.5991 288.9759 351.3673 457.6914 -96.4229 0.0000 0.0000
100.03 15.07.2018 06.40.01 21.71163 293.1014 3015.5432 5.3849 -8.8064 18.9217 560.4812 282.0100 352.7222 460.3735 -97.7289 0.0000 0.0000
110.03 15.07.2018 06.50.01 22.27563 293.3607 1542.2086 2.7539 -11.0455 18.3993 546.0098 274.8672 353.9553 462.3319 -98.7811 0.0000 0.0000
120.03 15.07.2018 07.00.01 22.58203 293.6252 820.6406 1.4654 -11.9361 17.8687 522.7117 262.4280 355.1807 462.3583 -97.8731 0.0000 0.0000
130.03 15.07.2018 07.10.01 22.76122 293.9565 512.0350 0.9143 -12.1896 17.4720 504.9706 252.7970 356.6229 462.5491 -95.7742 0.0000 0.0000
140.03 15.07.2018 07.20.01 22.88485 294.3202 368.1157 0.6574 -12.1806 17.1172 496.7590 248.8432 358.3247 463.9337 -95.0271 0.0000 0.0000
150.03 15.07.2018 07.30.01 22.98193 294.6885 274.7142 0.4906 -12.0550 16.7275 543.8794 278.1172 360.0000 472.9802 -104.3502 0.0000 0.0000
160.03 15.07.2018 07.40.01 23.06234 295.1062 286.1353 0.5110 -11.8597 16.4942 519.9717 266.1413 362.0913 474.2522 -102.5968 0.0000 0.0000
170.03 15.07.2018 07.50.01 23.12371 295.5075 -1968.0042 -3.5143 -11.5861 10.7625 496.7069 257.8130 363.9151 474.7837 -100.2352 0.0000 0.0000
180.03 15.07.2018 08.00.01 22.80343 295.8891 -846.7196 -1.5120 -9.4590 10.5959 489.0567 253.7926 365.6207 475.2073 -97.8944 0.0000 0.0000
190.03 15.07.2018 08.10.01 22.67657 296.3128 -309.1334 -0.5520 -8.3859 10.4451 481.1931 249.6717 367.5552 477.1337 -88.8628 0.0000 0.0000
200.03 15.07.2018 08.20.01 22.71499 296.6846 7776.5225 13.8867 -8.1287 29.3538 518.7760 258.4407 369.3463 482.3959 -83.1530 0.0000 0.0000
210.03 15.07.2018 08.30.01 24.12133 297.0895 3756.6267 6.7083 -14.5315 28.3197 500.9283 249.7826 370.8399 484.5774 -76.7953 0.0000 0.0000
220.03 15.07.2018 08.40.01 24.83386 297.3345 1857.4296 3.3168 -17.1623 27.3056 486.1266 241.9969 372.1174 484.9148 -68.1682 0.0000 0.0000
230.03 15.07.2018 08.50.01 25.21389 297.4847 934.2427 1.6683 -18.0623 26.3074 516.9720 261.5819 373.4923 491.1716 -75.2240 0.0000 0.0000
240.03 15.07.2018 09.00.01 25.43044 297.6739 486.4381 0.8686 -18.1480 25.3555 507.5706 256.9688 375.1541 490.3481 -83.6645 0.0000 0.0000
250.03 15.07.2018 09.10.01 25.56530 298.2077 178.2931 0.3184 -17.8569 24.2338 495.8964 251.2652 376.9794 494.3185 -65.2902 0.0000 0.0000
260.03 15.07.2018 09.20.01 25.64373 298.7078 42.1794 0.0753 -17.3180 23.1911 485.6008 246.3321 378.7059 492.7357 -78.8676 0.0000 0.0000
270.03 15.07.2018 09.30.01 25.73156 298.1660 3873.0015 6.9161 -16.8548 31.6945 500.3373 249.2021 379.9793 490.4604 -98.7465 0.0000 0.0000
