# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.90612 288.7613 166.5103 0.4525 -0.5028 1.2737 206.6557 106.1349 322.9451 371.1670 -16.3000 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.94021 289.4917 268.1022 0.7285 -0.8992 2.1703 368.0835 189.3288 329.0145 383.9934 -28.5930 0.0000 0.0000
30.03 15.07.2018 05.30.01 20.00921 290.3107 392.5906 1.0668 -1.3652 3.2427 610.6564 321.0823 336.9363 415.4155 -55.0955 0.0000 0.0000
40.03 15.07.2018 05.40.01 20.12133 290.9561 527.5727 1.4336 -1.9439 4.5034 585.5816 308.2061 347.3970 429.6284 -67.7759 0.0000 0.0000
50.03 15.07.2018 05.50.01 20.27169 291.4501 314.0659 0.8534 -2.6217 4.6335 551.0607 290.5151 350.5427 436.6690 -76.7755 0.0000 0.0000
60.03 15.07.2018 06.00.01 20.36547 291.7810 163.2533 0.4436 -2.9614 4.5401 507.3190 267.4575 351.9782 439.6505 -81.3748 0.0000 0.0000
70.03 15.07.2018 06.10.01 20.41870 291.9639 90.5857 0.2462 -3.0771 4.4310 484.6584 255.3047 352.7941 441.7882 -84.6545 0.0000 0.0000
80.03 15.07.2018 06.20.01 20.45281 292.1882 89.6301 0.2436 -3.0871 4.4409 463.2725 243.8269 354.0343 443.2426 -87.2612 0.0000 0.0000
90.03 15.07.2018 06.30.01 20.57296 292.4375 6039.9385 16.4129 -3.4750 26.5172 500.7855 251.0393 355.0534 447.8155 -94.3241 0.0000 0.0000
100.03 15.07.2018 06.40.01 22.27377 292.7320 2909.3184 7.9058 -11.4182 25.7652 483.7343 242.1851 356.3071 448.2463 -95.2654 0.0000 0.0000
